2023-04-05T19:45:52.137 [Log Analyzer: 15144, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] OS-Name : Windows
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] Running-Mode : root
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-05T19:45:52.138 [Log Analyzer: 15144, single] [LogAnalyzer INFO] ==================================================================
2023-04-05T19:45:52.139 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-04-05T19:45:52.139 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-04-05T19:45:52.140 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-04-05T19:45:52.141 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
